date	france	germany	italy	uk	us	canada	russia	brazil	south africa	mexico	oil
2001-06-07	-0.415036174	0.139233045	1.063803098	0.317698349	0.494817151	0.093011252	-1.82313061	0.069317077	-0.288766601	0.443144183	-1.601148024
2001-06-08	-0.365399241	-0.264526792	0.392787049	-0.501359115	-0.933042739	-0.548433294	0.537772838	0.086616215	-0.001774526	-0.394734552	3.245020659
2001-06-11	-1.171429692	-1.218308783	-0.91690691	-2.140790677	-0.738683692	-0.190908785	-0.070114404	-1.119232656	-0.39448049	-0.244438988	0.440604
2001-06-12	-1.10599304	-0.670254344	-0.351442401	-0.577200306	0.116650499	-0.571827514	-0.12626453	-1.27643836	-0.676509781	0.548228337	-0.372692283
2001-06-13	0.918404329	1.195374282	0.788796546	0.876180678	-1.081477253	-0.747819834	-0.353021997	0.167061865	-0.027341418	-0.275755378	-0.408163832
2001-06-14	-0.172484344	-0.358991891	-0.770113352	-0.192345404	-1.696168792	-1.240867011	-1.603395159	-0.600115334	-0.277176154	0.178994633	0.84846937
2001-06-15	-0.656660859	-1.343485774	-0.451164622	-0.331664569	-0.548218258	-1.773219787	1.493001618	-1.641587771	-0.581687284	-2.402110142	-5.095539947
2001-06-18	-1.514893082	-0.923856808	-2.248987813	-0.791488706	-0.424276357	-1.749904016	2.294657605	-5.247114809	-0.760048858	-2.461371538	-4.027389914
2001-06-19	0.365164405	0.429187105	-0.415732503	0.091707939	0.36196007	-0.079925489	2.30354464	0.282169519	1.929126057	-2.140535202	-0.111131702
2001-06-20	-1.205476754	-1.181009519	-1.541162597	-0.234271471	1.086191406	-0.322502378	-0.533581296	0.807455801	-1.417865251	1.476795519	-3.354375163
2001-06-21	-0.617699346	0.717587297	-0.75726489	0.446444059	1.074876742	0.540619711	1.241884188	2.645868137	1.082035326	1.811489982	0.801684004
2001-06-22	1.129316586	0.574200891	0.681752535	0.313764009	-1.00421463	0.65425214	2.375336288	2.650117875	0.157244063	-0.009418845	1.096626607
2001-06-25	1.325654259	0.108334714	1.697263296	0.018088239	-0.598185544	-0.180191244	-2.224763226	0.162797715	1.137037002	0.379963126	1.789089837
2001-06-26	-2.233604912	-0.661831154	-1.236085341	-1.729243794	-0.252796295	-0.986792895	-1.150891666	-0.836790077	-0.463009711	0.244572432	-0.29596766
2001-06-27	-0.891926323	-0.758469607	0.450603813	0.786629273	-0.42478037	-0.883655849	-0.401609861	-2.157963419	0.019084385	0.559459835	-5.053306784
